Period,Strategy,net_pnl_change,Grand_Total_Top_10_Divided_by_10,Grand_Total_Bottom_10_Divided_by_10
2023-09,L_EURUSD_S40_3_630091_CBB03EA1,-107.23435893999999,,-82.61162426300001
2023-09,L_GBPUSD_S42_4_793519_D8FAB916,-103.73877069,,-82.61162426300001
2023-09,L_GBPUSD_S42_4_1061317_58ADC376,-85.49475489,,-82.61162426300001
2023-09,L_EURUSD_S40_1_2132828_63A45C87,-76.8501101,,-82.61162426300001
2023-09,L_GBPUSD_S34_2_1227018_49061A95,-70.60742898,,-82.61162426300001
2023-09,L_GBPUSD_S42_2_1172432_88BC73CA,-70.22984798,,-82.61162426300001
2023-09,L_EURUSD_S40_3_2590923_2CF7B5E9,-68.46555391,,-82.61162426300001
2023-09,L_GBPUSD_S42_3_1417966_7E821E6D,-67.36618947,,-82.61162426300001
2023-09,L_GBPUSD_S34_3_337024_24655032,-57.990583900000004,,-82.61162426300001
2023-10,S_GBPUSD_S35_1_7791031_A9EA0170,247.08814442,175.681076005,
2023-10,L_GBPUSD_S42_4_1061317_58ADC376,190.42941150000001,175.681076005,
2023-10,S_GBPUSD_S35_3_3685202_06824EEE,182.09524117,175.681076005,
2023-10,L_GBPUSD_S42_2_1172432_88BC73CA,180.39896984,175.681076005,
2023-10,S_GBPUSD_S35_4_6042225_C5E9B0ED,173.03781952,175.681076005,
